,comments
153,"Книга именинником оценена на 5 . Но... залом есть на переплёте, царапина немаленькая, странички испачканы...упаковка вся разорвана... забрала , так как не было времени делать возврат и заказывать снова... Книга стоит 952 ₽ - неужели нельзя было аккуратно упаковать! Заказ делала книжный не один раз и книги были с очень демократичной ценой, а упакованы были значительно лучше, чем эта стоимость которой не 95 ₽..."
154,Книга супер!
155,"Книга пришла в отличном состоянии, упакована, углы не помяты"
156,"Задняя часть обложки помята, листы ооочень тонкие, боишься перевернуть и порвать, сами листы бело-серого цвета. Знала бы что придёт подумала бы стоит ли отдавать такие деньги (1009р) за такую книгу."
157,"Книга целая, повреждений нет. Немного порвана упаковка, но это не беда. "
158,"Все отлично! Книга большая, тяжёлая, бумага белая, картинки тоже ничего))"
159,"Идеальное состояние,ни одного повреждения"
160,"Отличная книга, тяжелая. Брала в подарок сыну 11лет. Очень доволен."
161,"Книга пришла без повреждений, чему я очень рада, т.к.купила её в подарок. Доставка быстрая. Ну, а содержание-выше всяких похвал! Покупала для мальчика 11 лет."
162,"Хорошо упакована, красивая обложка и картинки. Рекомендую!"
163,"Хорошая книга. У меня уже быа из этой серии книга Ведьмак и очень рада, что теперь и Властелин Колец. Книга хорошая, страницы не тонкие, белые, шрифт как раз👍. Я довольна"
164,Книга большая. Обложка целая. Сын доволен...
165,"доволен. один минус, нет хоббита в книге"
166,"С книгами всегда везёт, приходит все в целости и сохранности. Цена ниже чем в магазинах. Очень понравилось)"
167,"Книга отличная, беру уже вторую из этой серии, первая была Ведьмак, ребенок в восторге, рекомендую."
168,Подруге понравилось)
169,Отличное издание
170,"Доставили в идеальном состоянии. Тоже покупала Ведьмака этой серии, разница в качестве бумаги есть. Обложки везде красивые. Но внутри совсем не подарочный вариант! У Ведьмака серая шероховатая, а у Властелина желтоватая и также шершавая."
171,Брала на подарок. Брат был очень доволен и качеством и иллюстрациями. Спасиибо
172,Отличная книга.
173,"Всё целое, качество на высоте."
174,"Несмотря на то,что в книга упакована,снизу немного поцарапаны страницы(((Менять не буду,т.к.брала на подарок,времени нет(("
175,"брал на подарок,  получатель в восторге))"
176,Можно брать. Прибыло в целости
177,"Классная, всего за 648 руб это просто  даром. Пришла в идеальном состоянии."
178,"Огромная шикарная книга! Купили ребенку 12 лет на подарок к новому году. Пришла хорошо упакованной, без заломов."
179,"Сама книга вполне. Хотя с хорошими иллюстрациями было бы лучше. Брал из этой серии ведьмака, качество бумаги намного хуже. Но главное доставка. Если ведьмака нормально упаковали, то тут пакет и порванная в нескольких местах упаковка. Проверйте, пока курьер не уехал."
180,"👍Обалденная книга, спасибо"
181,"Шикарная книга, спасибо огромное!"
182,Хорошее издание и перевод.
183,Любимая книга)
184,Все отлично.
185,"Книга прекрасная, без заломов и трещин, бумага белая, доставка очень быстрая, курьером на дом ! Курьер сразу отзвонился и в течении 30 минут привез заказ!!! Курьер кстати симпатичный , ещё небольшой плюсик 🤗"
186,Прекрасное издание! Отличная упаковка. Всем огромное СПАСИБО за работу!
187,Книжка пришла целая. Спасибо
188,Доставлено в отличном состоянии.
189,Все соответствует описанию
190,"Книгой полностью доволен, слегка помяты углы, но это частая история у книг так что ничего. Оформление книги понравилось, двухколонковый текст чем та даже нравится, есть дух старых книг в ней, для фантастики самое то."
191,"Пришла в отличном состоянии!
Очень нравится издательство,и оформление книги!!"
192,"Книга очень большая, в ней все 3 части ВК. Бумага крайне тонкая, текст в двух столбцах. Для домашнего чтения супер, на подарок не надо. Читать не начинала, не знаю что на счёт перевода (Сумкинс или Беггинс и тд)."
193,Классная книга! Все отлично
194,"Покупала ребёнку в подарок. Хороший переплёт, Карты. Книга понравилась"
195,"Всё хорошо. Брала в подарок дочке, она довольна."
196,"За свои деньги книга хорошая.Правда,качество бумаги не очень хорошее.Она слишком тонкая,такое же качество как и у обычных газет"
197,"Пришла раньше срока,все отлично. "
198,"Книга упакована хорошо, странички не мятые, переплёт целый. В книге есть карты, рисунки. В подарок заказывала, мужу понравилась."
199,"Книжка пришла замечательная! Упакована хорошо. Все 3 части с картами. Пришла вовремя, советую!"
200,"Дополню комментарий. В вопросах и ответах спрашивали про автора иллюстраций, так вот, это не Алан Ли, как ответил представитель издательства, а Я.Ашмарин.
А ещё в конце книги есть разные карты, как Средиземья, так и перемещений главных героев, очень познавательно и удобно!"
